Provincias	Comunidad autónoma de procedencia	Total
Rioja, La	Ceuta	0,09
Rioja, La	Melilla	0,04
Salamanca	Total	100
Salamanca	Andalucía	13,52
Salamanca	Aragón	1,77
Salamanca	Asturias, Principado de	4,21
Salamanca	Balears, Illes	0,91
Salamanca	Canarias	1,09
Salamanca	Cantabria	2,49
Salamanca	Castilla y León	15,28
Salamanca	Castilla - La Mancha	4,27
Salamanca	Cataluña	4,91
Salamanca	Comunitat Valenciana	4,7
Salamanca	Extremadura	4,24
Salamanca	Galicia	6,41
Salamanca	Madrid, Comunidad de	24,42
Salamanca	Murcia, Región de	1,37
Salamanca	Navarra, Comunidad Foral de	1,86
Salamanca	País Vasco	7,25
Salamanca	Rioja, La	1,06
Salamanca	Ceuta	0,2
Salamanca	Melilla	0,03
Santa Cruz de Tenerife	Total	100
Santa Cruz de Tenerife	Andalucía	7,45
